Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,博乐市西郊区,30,优,NaN,9,30,0.2,3,78,65,6
20200326,18,市环保局,25,优,NaN,12,24,0.2,9,78,64,12
20200326,20,博乐市西郊区,34,优,NaN,11,34,0.3,6,NaN,71,NaN
20200326,20,市环保局,33,优,NaN,10,33,0.3,10,78,71,11
20200326,21,博乐市西郊区,32,优,NaN,NaN,32,0.3,5,NaN,73,5
20200326,21,市环保局,30,优,NaN,13,30,0.5,15,72,72,12
20200327,10,博乐市西郊区,33,优,NaN,17,33,0.2,5,27,38,4
20200327,10,市环保局,33,优,NaN,20,33,1.4,32,12,24,13
20200327,11,博乐市西郊区,42,优,NaN,18,42,0.1,6,42,37,12
20200327,11,市环保局,42,优,NaN,23,42,1.2,32,25,24,15
20200327,12,博乐市西郊区,40,优,NaN,12,40,0.1,11,53,37,14
20200327,12,市环保局,52,良,颗粒物(PM10),25,54,0.5,24,61,28,20
20200327,13,博乐市西郊区,44,优,NaN,10,44,0.1,8,70,40,11
20200327,13,市环保局,53,良,颗粒物(PM10),23,55,0.4,18,70,33,26
20200327,13,博乐市西郊区,44,优,NaN,10,44,0.1,8,70,40,11
20200327,13,市环保局,53,良,颗粒物(PM10),23,55,0.4,18,70,33,26
20200327,14,博乐市西郊区,43,优,NaN,7,43,0.1,8,69,44,9
20200327,14,市环保局,43,优,NaN,17,43,NaN,13,73,39,16
20200327,15,博乐市西郊区,50,优,NaN,14,50,0.1,6,72,48,9
20200327,15,市环保局,31,优,NaN,13,31,0.6,11,79,46,NaN
20200327,15,博乐市西郊区,50,优,NaN,14,50,0.1,6,72,48,9
20200327,15,市环保局,31,优,NaN,13,31,0.6,11,79,46,NaN
20200327,16,博乐市西郊区,50,优,NaN,10,50,0.1,4,79,55,7
20200327,16,市环保局,30,优,NaN,11,30,0.9,11,80,52,10
20200327,17,博乐市西郊区,45,优,NaN,11,45,0.1,3,84,62,5
20200327,17,市环保局,31,优,NaN,10,31,0.2,10,84,60,9
20200327,17,博乐市西郊区,45,优,NaN,11,45,0.1,3,84,62,5
20200327,17,市环保局,31,优,NaN,10,31,0.2,10,84,60,9
20200330,07,博乐市西郊区,38,优,NaN,6,38,0.1,2,44,66,3
20200330,07,市环保局,25,优,NaN,12,25,0.6,16,40,62,12
20200330,08,博乐市西郊区,47,优,NaN,13,47,0.2,4,38,62,4
20200330,08,市环保局,30,优,NaN,13,30,0.5,17,36,59,11
20200330,09,博乐市西郊区,53,良,颗粒物(PM10),17,55,0.1,5,38,58,5
20200330,09,市环保局,33,优,NaN,14,33,0.5,22,30,55,11
20200330,09,博乐市西郊区,53,良,颗粒物(PM10),17,55,0.1,5,38,58,5
20200330,09,市环保局,33,优,NaN,14,33,0.5,22,30,55,11
20200330,09,博乐市西郊区,53,良,颗粒物(PM10),17,55,0.1,5,38,58,5
20200330,09,市环保局,33,优,NaN,14,33,0.5,22,30,55,11
20200330,10,博乐市西郊区,53,良,颗粒物(PM10),19,55,0.1,9,34,54,5
20200330,10,市环保局,35,优,NaN,14,35,0.7,28,21,50,10
20200330,10,博乐市西郊区,53,良,颗粒物(PM10),19,55,0.1,9,34,54,5
20200330,10,市环保局,35,优,NaN,14,35,0.7,28,21,50,10
