Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,监测站,27,优,NaN,17,27,0.2,16,62,54,1
20200326,18,市政府广场,36,优,NaN,23,36,0.3,12,69,57,4
20200326,18,港务局,44,优,NaN,20,44,0.3,16,66,59,2
20200326,20,监测站,21,优,NaN,4,9,0.2,13,65,61,1
20200326,20,市政府广场,23,优,NaN,5,17,0.2,8,72,63,4
20200326,20,港务局,22,优,NaN,9,9,0.4,11,70,64,2
20200326,21,监测站,23,优,NaN,4,6,0.2,11,72,64,1
20200326,21,市政府广场,25,优,NaN,6,12,0.2,7,80,69,4
20200326,21,港务局,25,优,NaN,6,14,0.4,9,77,68,2
20200327,10,监测站,57,良,颗粒物(PM10),11,64,0.2,10,72,72,2
20200327,10,市政府广场,57,良,颗粒物(PM10),7,63,0.4,8,79,80,5
20200327,10,港务局,66,良,颗粒物(PM10),11,82,0.4,10,76,78,5
20200327,11,监测站,78,良,颗粒物(PM10),9,106,0.2,9,74,67,2
20200327,11,市政府广场,75,良,颗粒物(PM10),9,100,0.3,8,80,78,5
20200327,11,港务局,71,良,颗粒物(PM10),13,92,0.4,10,78,74,5
20200327,12,监测站,86,良,颗粒物(PM10),12,122,0.2,9,78,68,3
20200327,12,市政府广场,86,良,颗粒物(PM10),12,122,0.4,7,84,79,5
20200327,12,港务局,86,良,颗粒物(PM10),12,122,0.4,10,81,75,5
20200327,13,监测站,86,良,颗粒物(PM10),9,122,0.2,8,81,70,3
20200327,13,市政府广场,85,良,颗粒物(PM10),15,119,0.4,6,88,80,5
20200327,13,港务局,82,良,颗粒物(PM10),11,114,0.3,9,84,76,4
20200327,14,监测站,84,良,颗粒物(PM10),12,117,0.2,8,86,72,2
20200327,14,市政府广场,80,良,颗粒物(PM10),9,110,0.4,7,94,82,5
20200327,14,港务局,79,良,颗粒物(PM10),11,107,0.3,9,90,78,4
20200327,15,监测站,79,良,颗粒物(PM10),11,108,0.2,9,88,76,2
20200327,15,市政府广场,78,良,颗粒物(PM10),9,105,0.4,6,95,84,4
20200327,15,港务局,78,良,颗粒物(PM10),13,105,0.3,9,90,80,3
20200327,17,监测站,57,良,颗粒物(PM10),5,64,0.2,10,82,81,2
20200327,17,市政府广场,48,优,NaN,9,48,0.4,8,88,88,4
20200327,17,港务局,53,良,颗粒物(PM10),8,56,0.3,9,85,84,3
20200330,10,监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN
20200330,10,市政府广场,82,良,颗粒物(PM10),46,114,1.2,59,41,15,32
20200330,10,港务局,103,轻度污染,颗粒物(PM10),56,156,1.3,60,43,11,26
20200330,11,监测站,81,良,颗粒物(PM10),44,111,1.0,51,61,12,24
20200330,11,市政府广场,85,良,颗粒物(PM10),45,119,1.4,50,66,21,31
20200330,11,港务局,79,良,颗粒物(PM10),45,107,1.0,49,55,17,16
20200330,13,监测站,81,良,颗粒物(PM10),46,111,1.2,53,80,35,21
20200330,13,市政府广场,96,良,颗粒物(PM10),51,141,0.9,36,88,39,20
20200330,13,港务局,61,良,颗粒物(PM10),36,72,0.5,20,100,37,8
20200330,14,监测站,89,良,颗粒物(PM10),46,127,0.7,41,96,48,14
20200330,14,市政府广场,87,良,颗粒物(PM10),40,124,0.7,26,122,54,16
20200330,14,港务局,53,良,颗粒物(PM10),24,56,0.7,22,137,54,10
20200330,14,监测站,89,良,颗粒物(PM10),46,127,0.7,41,96,48,14
20200330,14,市政府广场,87,良,颗粒物(PM10),40,124,0.7,26,122,54,16
20200330,14,港务局,53,良,颗粒物(PM10),24,56,0.7,22,137,54,10
20200330,16,监测站,84,良,颗粒物(PM10),50,117,0.5,44,117,82,11
20200330,16,市政府广场,81,良,颗粒物(PM10),45,112,0.5,18,152,90,13
20200330,16,港务局,67,良,颗粒物(PM10),35,83,0.6,21,134,88,9
