Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,鸳鸯湖,27,优,NaN,16,27,0.5,2,62,60,4
20200326,19,南恩路,35,优,NaN,15,35,0.6,2,58,57,8
20200326,19,马南垌,32,优,NaN,17,32,0.5,2,58,58,4
20200326,20,鸳鸯湖,34,优,NaN,18,34,0.5,3,63,60,4
20200326,20,南恩路,24,优,NaN,12,24,0.6,2,58,57,8
20200326,20,马南垌,31,优,NaN,18,31,0.5,2,59,58,4
20200327,10,鸳鸯湖,21,优,NaN,14,21,0.5,3,43,44,3
20200327,10,南恩路,23,优,NaN,16,20,0.6,4,41,43,8
20200327,10,马南垌,30,优,NaN,13,30,0.4,2,42,45,4
20200327,11,鸳鸯湖,22,优,NaN,14,22,0.4,2,48,42,3
20200327,11,南恩路,21,优,NaN,14,21,0.5,1,45,42,8
20200327,11,马南垌,26,优,NaN,12,26,0.4,2,47,43,4
20200327,12,鸳鸯湖,25,优,NaN,17,21,0.4,2,52,43,4
20200327,12,南恩路,20,优,NaN,14,18,0.5,1,49,42,7
20200327,12,马南垌,24,优,NaN,12,24,0.4,2,51,44,4
20200327,13,鸳鸯湖,19,优,NaN,13,15,0.4,2,56,45,4
20200327,13,南恩路,27,优,NaN,15,27,0.5,2,54,44,8
20200327,13,马南垌,18,优,NaN,12,12,0.4,2,56,45,4
20200327,14,鸳鸯湖,25,优,NaN,14,25,0.4,2,60,47,4
20200327,14,南恩路,24,优,NaN,15,24,0.5,2,58,46,8
20200327,14,马南垌,29,优,NaN,12,29,0.4,2,59,47,4
20200327,15,鸳鸯湖,20,优,NaN,14,18,0.4,1,59,50,4
20200327,15,南恩路,24,优,NaN,13,24,0.5,2,57,48,8
20200327,15,马南垌,20,优,NaN,13,20,0.4,2,58,49,4
20200327,17,鸳鸯湖,22,优,NaN,15,16,0.4,1,61,55,4
20200327,17,南恩路,23,优,NaN,13,23,0.5,2,58,52,8
20200327,17,马南垌,22,优,NaN,14,22,0.4,2,60,54,4
20200330,11,鸳鸯湖,22,优,NaN,5,22,0.8,23,11,16,5
20200330,11,南恩路,22,优,NaN,7,22,0.8,25,14,20,10
20200330,11,马南垌,17,优,NaN,11,17,0.7,23,12,20,5
20200330,11,鸳鸯湖,22,优,NaN,5,22,0.8,23,11,16,5
20200330,11,南恩路,22,优,NaN,7,22,0.8,25,14,20,10
20200330,11,马南垌,17,优,NaN,11,17,0.7,23,12,20,5
